title,platform,release_year,genre,publisher,sales_na,sales_eu,sales_jp,sales_others,sales_global,score,count_critic,developer,content_rating
The Godfather: Mob Wars,PSP,2006,Action,Electronic Arts,0.09,0,0,0.01,0.1,59,34,Page 44 Studios,M
Rygar: The Battle of Argus,Wii,2008,Action,Rising Star Games,0.09,0,0,0.01,0.09,52,29,Tecmo,T
Mushroom Men: Rise of the Fungi,DS,2008,Action,SouthPeak Games,0.1,0,0,0.01,0.11,45,16,Red Fly Studio,E
The Settlers,DS,2007,Action,Ubisoft,0.1,0,0,0.01,0.11,39,6,Blue Byte,E
X-Men: The Official Game,DS,2006,Action,Activision,0.1,0,0,0.01,0.1,50,17,Amaze Entertainment,E10+
Astro Boy: The Video Game,Wii,2009,Action,D3Publisher,0.1,0,0,0.01,0.11,48,17,High Voltage Software,E10+
TMNT,PSP,2007,Action,Ubisoft,0.1,0,0,0.01,0.11,37,7,Ubisoft Montreal,E10+
Rengoku: The Tower of Purgatory,PSP,2005,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11,43,30,Neverland,M
Hellboy: The Science of Evil,X360,2008,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11,44,31,Krome Studios,T
Godzilla Unleashed: Double Smash,DS,2007,Action,Atari,0.11,0,0,0.01,0.12,28,18,Santa Cruz Games,E
Ninja Reflex,Wii,2008,Action,Electronic Arts,0.11,0,0,0.01,0.12,49,26,Sanzaru Games,E10+
Onechanbara: Bikini Zombie Slayers,Wii,2008,Action,D3Publisher,0.11,0,0,0.01,0.12,55,24,Tamsoft,M
G.I. Joe: The Rise of Cobra,PS2,2009,Action,Electronic Arts,0.11,0,0,0.03,0.14,50,4,Double Helix Games,T
Madagascar: Escape 2 Africa,PS2,2008,Action,Activision,0.12,0,0,0.26,0.38,56,4,Toys for Bob,E
Happy Feet,Wii,2006,Action,Midway Games,0.12,0,0,0.01,0.14,46,11,Artificial Mind and Movement,E
Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009,Action,Ubisoft,0.12,0,0,0.01,0.13,36,8,Ubisoft,E10+
Peter Jackson's King Kong: The Official Game of the Movie,DS,2005,Action,Ubisoft,0.12,0,0,0.01,0.13,28,5,Ubisoft Casablanca,T
The Golden Compass,PS2,2007,Action,Sega,0.13,0,0,0.39,0.52,46,10,Shiny Entertainment,E10+
Chicken Shoot,DS,2007,Action,Zoo Digital Publishing,0.13,0,0,0.01,0.14,19,4,FrontLine Studios,E10+
Ultimate Spider-Man,DS,2005,Action,Activision,0.14,0,0,0.01,0.15,78,17,Vicarious Visions,E10+
Tak and the Guardians of Gross,Wii,2008,Action,THQ,0.14,0,0,0.01,0.16,63,5,THQ,E10+
Bee Movie Game,X360,2007,Action,Activision,0.16,0,0,0.01,0.17,71,25,Beenox,E
Mercury Meltdown Revolution,Wii,2007,Action,Ignition Entertainment,0.16,0,0,0.01,0.17,77,41,Ignition Entertainment,E
Spider-Man: Friend or Foe,PSP,2007,Action,Activision,0.16,0,0,0.01,0.18,58,7,Artificial Mind and Movement,E10+
X-Men: The Official Game,X360,2006,Action,Activision,0.16,0,0,0.01,0.17,52,57,"Z-Axis, Ltd.",T
The Munchables,Wii,2009,Action,Namco Bandai Games,0.17,0,0,0.01,0.18,71,33,Now Production,E
Disney's Meet the Robinsons,Wii,2007,Action,Disney Interactive Studios,0.17,0,0,0.01,0.19,62,11,Buena Vista Games,E10+
Harry Potter and the Goblet of Fire,PSP,2005,Action,Electronic Arts,0.17,0,0,0.02,0.19,70,13,Electronic Arts,E10+
Dragon Blade: Wrath of Fire,Wii,2007,Action,D3Publisher,0.17,0,0,0.01,0.18,51,19,D3Publisher,T
Family Guy,PSP,2006,Action,Take-Two Interactive,0.18,0,0,0.02,0.19,51,14,High Voltage Software,M
Ghost Rider,PSP,2007,Action,Take-Two Interactive,0.22,0,0,0.02,0.24,49,17,Climax Group,T
Kung Fu Panda,PS2,2008,Action,Activision,0.24,0,0,0.41,0.65,73,6,Xpec,E10+
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0,0,0.06,0.3,75,59,Rocksteady Studios,M
SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,THQ,0.31,0,0,0.02,0.34,67,5,Tantatus,E
Ratatouille,PS2,2007,Action,THQ,0.31,0,0,0.53,0.85,65,9,Asobo Studio,E
Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,0.32,0,0,0.02,0.35,27,9,Destination Software,E10+
Iron Man,PS2,2008,Action,Sega,0.36,0,0,0.19,0.54,47,8,Artificial Mind and Movement,T
Naruto: Ninja Council 3,DS,2006,Action,D3Publisher,0.39,0,0,0.03,0.42,56,23,Aspect,E10+
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Wii,2008,Action,THQ,0.49,0,0,0.04,0.53,47,5,Incinerator Games,E
Twisted Metal: Head On,PSP,2005,Action,Sony Computer Entertainment,0.71,0,0,0.06,0.77,79,45,Incognito Inc.,T
NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0,0,0.07,0.89,79,9,EA Tiburon,E
NCAA Football 13,X360,2012,Action,Electronic Arts,1.02,0,0,0.07,1.09,76,20,EA Tiburon,E
DuckTales: Remastered,PC,2013,Action,Capcom,0,0.01,0,0,0.02,66,6,WayForward,E
Harry Potter and the Chamber of Secrets,PC,2002,Action,Electronic Arts,0,0.01,0,0,0.01,77,8,KnowWonder,E
Fast Racing Neo,WiiU,2016,Action,Nintendo,0,0.01,0,0,0.01,81,46,Shin'en,E
TrackMania Turbo,PC,2016,Action,Ubisoft,0,0.01,0,0,0.01,79,13,Nadeo,E
LEGO Star Wars II: The Original Trilogy,PC,2006,Action,Activision,0,0.01,0,0,0.02,86,20,Traveller's Tales,E10+
Trine,PC,2009,Action,Nobilis,0,0.01,0,0,0.01,80,50,"Frozenbyte, Inc.",E10+
Legend of Kay Anniversary,WiiU,2015,Action,Nordic Games,0,0.01,0,0,0.01,67,9,"Neon Studios, Kaiko",E10+
Saints Row: Gat out of Hell,XOne,2015,Action,Deep Silver,0,0.01,0,0,0.01,65,16,Volition Inc.,M
Legacy of Kain: Defiance,PC,2003,Action,Eidos Interactive,0,0.01,0,0,0.01,70,11,Nixxes Software,M
Just Cause,PC,2006,Action,Eidos Interactive,0,0.01,0,0,0.02,75,21,Avalanche Studios,M
Metal Gear Solid V: Ground Zeroes,PC,2014,Action,Konami Digital Entertainment,0,0.01,0,0,0.01,80,20,Kojima Productions,M
Quantum Break,PC,2016,Action,Microsoft Game Studios,0,0.01,0,0,0.02,66,14,Remedy Entertainment,M
Grand Theft Auto III,PC,2002,Action,Take-Two Interactive,0,0.01,0,0,0.01,93,20,"DMA Design, Rockstar North",M
Turok,PC,2008,Action,Touchstone,0,0.01,0,0,0.01,65,16,Propaganda Games,M
Dark Void,PC,2010,Action,Capcom,0,0.01,0,0,0.02,57,22,Airtight Games,T
Tomb Raider: Legend,PC,2006,Action,Eidos Interactive,0,0.01,0,0,0.02,82,31,Nixxes Software,T
Lost: Via Domus,PC,2008,Action,Ubisoft,0,0.01,0,0,0.02,52,22,Ubisoft Montreal,T
Monsters vs. Aliens,PC,2009,Action,Activision,0.01,0.01,0,0,0.03,63,8,Beenox,E10+
Tenkai Knights: Brave Battle,3DS,2014,Action,Namco Bandai Games,0.01,0.01,0,0,0.02,26,10,Bandai Namco Games,E10+
Rule of Rose,PS2,2006,Action,505 Games,0.01,0.01,0,0,0.02,59,44,"Punchline, Shirogumi",M
Just Cause,PS2,2006,Action,Eidos Interactive,0.01,0.01,0,0,0.02,67,23,Avalanche Studios,M
Prison Architect,PS4,2016,Action,Introversion Software,0.01,0.01,0,0.01,0.03,80,18,"Introversion, Double Eleven",M
Carmageddon: Max Damage,XOne,2016,Action,Stainless Games,0.01,0.01,0,0,0.02,52,15,Stainless Games,M
007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0,0,0.03,70,18,Treyarch,T
Final Fantasy XIV: Heavensward,PC,2015,Action,Square Enix,0.01,0.01,0,0,0.02,86,14,Square Enix,T
Beyblade Evolution,3DS,2013,Action,Rising Star Games,0.02,0.01,0,0,0.04,49,7,Rising Star Games,E
Justice League Heroes: The Flash,GBA,2006,Action,Eidos Interactive,0.02,0.01,0,0,0.03,72,8,WayForward,E10+
LEGO Harry Potter: Years 1-4,PC,2010,Action,Warner Bros. Interactive Entertainment,0.02,0.01,0,0,0.03,79,15,Traveller's Tales,E10+
Cy Girls,PS2,2004,Action,Konami Digital Entertainment,0.02,0.01,0,0,0.04,53,28,KCEJ,M
Headhunter: Redemption,PS2,2004,Action,Sega,0.02,0.01,0,0,0.04,62,29,Amuze,M
Stolen,PS2,2005,Action,Hip Interactive,0.02,0.01,0,0,0.04,51,16,Blue 52,T
Galleon: Islands of Mystery,XB,2004,Action,SCi,0.02,0.01,0,0,0.03,67,40,Confounding Factor,T
Buffy the Vampire Slayer: Wrath of the Darkhul King,GBA,2003,Action,THQ,0.02,0.01,0,0,0.03,44,16,Natsume,T
Buffy the Vampire Slayer: Chaos Bleeds,GC,2003,Action,Vivendi Games,0.02,0.01,0,0,0.03,75,18,Eurocom Entertainment Software,T
Code Lyoko,DS,2007,Action,Game Factory,0.03,0.01,0,0,0.05,63,11,DC Studios,E10+
TMNT,DS,2007,Action,Ubisoft,0.03,0.01,0,0,0.04,42,10,Ubisoft Quebec,E10+
Hunted: The Demon's Forge,PC,2011,Action,Bethesda Softworks,0.03,0.01,0,0,0.05,61,21,InXile Entertainment,M
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Action,Activision,0.03,0.01,0,0,0.04,55,14,PlatinumGames,T
Double Dragon Advance,GBA,2003,Action,Atlus,0.03,0.01,0,0,0.05,75,21,Million,T
NightCaster II: Equinox,XB,2002,Action,Jaleco,0.03,0.01,0,0,0.05,46,12,Jaleco Entertainment,T
The Da Vinci Code,XB,2006,Action,Take-Two Interactive,0.03,0.01,0,0,0.04,52,34,Double Helix Games,T
Create,PC,2010,Action,Electronic Arts,0.04,0.01,0,0.01,0.06,54,7,EA Bright Light,E
Gladiator: Sword of Vengeance,XB,2003,Action,Acclaim Entertainment,0.04,0.01,0,0,0.05,65,25,Acclaim Studios Manchester,M
Resident Evil 2,GC,2003,Action,Capcom,0.04,0.01,0,0,0.06,59,15,Capcom,M
Crime Life: Gang Wars,XB,2005,Action,Konami Digital Entertainment,0.04,0.01,0,0,0.05,30,19,Hothouse Creations,M
Fatal Frame II: Crimson Butterfly Director's Cut,XB,2004,Action,Microsoft Game Studios,0.04,0.01,0,0,0.05,84,37,Tecmo,M
Constantine,XB,2005,Action,SCi,0.04,0.01,0,0,0.06,60,31,Bits Studios,M
Tom Clancy's Splinter Cell: Double Agent,GC,2006,Action,Ubisoft,0.04,0.01,0,0,0.06,64,8,Ubisoft Montreal,M
Alias,XB,2004,Action,Acclaim Entertainment,0.04,0.01,0,0,0.05,64,37,Acclaim Studios Cheltenham,T
Viewtiful Joe: Red Hot Rumble,GC,2005,Action,Capcom,0.04,0.01,0,0,0.06,62,27,Clover Studio,T
Tron 2.0: Killer App,XB,2004,Action,Disney Interactive Studios,0.04,0.01,0,0,0.06,69,36,Climax Group,T
Catwoman,XB,2004,Action,Electronic Arts,0.04,0.01,0,0,0.06,45,33,EA Games,T
Otogi 2: Immortal Warriors,XB,2003,Action,Sega,0.04,0.01,0,0,0.05,79,43,From Software,T
Fantastic Four: Rise of the Silver Surfer,Wii,2007,Action,Take-Two Interactive,0.04,0.01,0,0,0.05,39,16,7 Studios,T
Fatal Frame,XB,2002,Action,Tecmo Koei,0.04,0.01,0,0,0.06,77,17,Tecmo,T
Bionicle,XB,2003,Action,Electronic Arts,0.05,0.01,0,0,0.06,49,5,Argonaut Games,E
X-Men: Destiny,DS,2011,Action,Activision,0.05,0.01,0,0,0.06,33,6,Silicon Knights,E10+
Brave: A Warrior's Tale,X360,2009,Action,SouthPeak Games,0.05,0.01,0,0,0.06,42,17,Collision Studios,E10+
Resident Evil - Code: Veronica X,GC,2003,Action,Capcom,0.05,0.01,0,0,0.06,62,16,Nex Entertainment,M
Spawn: Armageddon,GC,2003,Action,Electronic Arts,0.05,0.01,0,0,0.07,61,19,Point of View,M
Kabuki Warriors,XB,2001,Action,Genki,0.05,0.01,0,0,0.06,32,15,Light Weight,M
Spartan: Total Warrior,GC,2005,Action,Sega,0.05,0.01,0,0,0.07,73,24,Creative Assembly,M
Cold Fear,XB,2005,Action,Ubisoft,0.05,0.01,0,0,0.06,71,41,Darkworks,M
Catwoman,GC,2004,Action,Electronic Arts,0.05,0.01,0,0,0.07,47,24,Argonaut Games,T
Looney Tunes: Acme Arsenal,X360,2007,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0,0.01,0.08,40,15,Red Tribe,E10+
The First Templar,PC,2011,Action,Kalypso Media,0.06,0.01,0,0.01,0.08,57,19,Haemimont,T
Code Lyoko: Quest for Infinity,Wii,2007,Action,Game Factory,0.07,0.01,0,0.01,0.09,58,15,The Game Factory,E10+
Samurai Warriors 2,X360,2006,Action,Tecmo Koei,0.07,0.01,0,0.01,0.08,52,30,Omega Force,T
Bladestorm: The Hundred Years' War,X360,2007,Action,Tecmo Koei,0.08,0.01,0,0.01,0.09,63,26,Omega Force,T
The Lord of the Rings: Conquest,DS,2009,Action,Electronic Arts,0.09,0.01,0,0.01,0.1,61,9,Artificial Mind and Movement,E10+
Spyborgs,Wii,2009,Action,Capcom,0.09,0.01,0,0.01,0.11,66,30,Bionic Games,T
Universe at War: Earth Assault,X360,2008,Action,Sega,0.09,0.01,0,0.01,0.1,66,44,Petroglyph,T
Tom Clancy's Splinter Cell: Double Agent,Wii,2006,Action,Ubisoft,0.1,0.01,0,0.01,0.13,61,12,Ubisoft Shanghai,M
Fantastic Four: Rise of the Silver Surfer,X360,2007,Action,Take-Two Interactive,0.1,0.01,0,0.01,0.11,45,30,Visual Concepts,T
G.I. Joe: The Rise of Cobra,DS,2009,Action,Electronic Arts,0.11,0.01,0,0.01,0.14,47,16,Backbone Entertainment,E10+
Onechanbara: Bikini Samurai Squad,X360,2006,Action,D3Publisher,0.11,0.01,0,0.01,0.13,39,39,Tamsoft,M
Dynasty Warriors 5 Empires,X360,2006,Action,Tecmo Koei,0.11,0.01,0,0.01,0.13,61,40,Omega Force,T
Star Wars: Lethal Alliance,PSP,2006,Action,Ubisoft,0.11,0.01,0,0.01,0.13,61,31,Ubisoft Montreal,T
Skylanders Giants,3DS,2012,Action,Activision,0.12,0.01,0,0.01,0.14,59,9,n-Space,E10+
Scarface: The World is Yours,Wii,2007,Action,Vivendi Games,0.12,0.01,0,0.01,0.14,71,23,Radical Entertainment,M
Spyro: Shadow Legacy,DS,2005,Action,Vivendi Games,0.14,0.01,0,0.01,0.16,50,18,Amaze Entertainment,E
Prince of Persia: The Forgotten Sands,DS,2010,Action,Ubisoft,0.14,0.01,0,0.01,0.15,57,7,Ubisoft Casablanca,E10+
Beowulf: The Game,PS3,2007,Action,Ubisoft,0.14,0.01,0,0.01,0.16,51,18,Ubisoft,M
The Chronicles of Narnia: Prince Caspian,PS3,2008,Action,Disney Interactive Studios,0.14,0.01,0,0.02,0.17,56,16,Traveller's Tales,T
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",DS,2005,Action,Disney Interactive Studios,0.15,0.01,0,0.01,0.18,65,20,Amaze Entertainment,E10+
Ghostbusters: The Video Game,PSP,2009,Action,Atari,0.16,0.01,0,0.02,0.18,54,13,Red Fly Studio,E10+
Mushroom Men: The Spore Wars,Wii,2008,Action,SouthPeak Games,0.16,0.01,0,0.01,0.18,72,37,Red Fly Studio,E10+
The Chronicles of Narnia: Prince Caspian,X360,2008,Action,Disney Interactive Studios,0.16,0.01,0,0.01,0.18,56,24,Traveller's Tales,T
SoulCalibur Legends,Wii,2007,Action,Namco Bandai Games,0.16,0.01,0,0.01,0.18,52,35,Namco Bandai Games,T
Peter Jackson's King Kong: The Official Game of the Movie,PSP,2005,Action,Ubisoft,0.16,0.01,0,0.02,0.19,56,10,Phoenix Games Studio,T
Planet 51,Wii,2009,Action,Sega,0.17,0.01,0,0.02,0.2,53,6,Pyro Studios,E
Spider-Man: Shattered Dimensions,DS,2010,Action,Activision,0.17,0.01,0,0.01,0.19,73,13,Griptonite Games,E10+
Warriors Orochi,X360,2007,Action,Tecmo Koei,0.17,0.01,0,0.02,0.2,53,27,Omega Force,T
Rampage: Total Destruction,Wii,2006,Action,Midway Games,0.19,0.01,0,0.02,0.21,46,21,"Pipeworks Software, Inc.",E10+
Harry Potter and the Goblet of Fire,DS,2005,Action,Electronic Arts,0.2,0.01,0,0.02,0.23,68,15,Magic Pockets,E
NBA 2K6,X360,2005,Action,Take-Two Interactive,0.21,0.01,0,0.02,0.23,81,33,Visual Concepts,E
Looney Tunes: Acme Arsenal,Wii,2007,Action,Warner Bros. Interactive Entertainment,0.21,0.01,0,0.02,0.23,27,7,Red Tribe,E10+
The Warriors,PSP,2007,Action,Take-Two Interactive,0.23,0.01,0,0.02,0.27,81,36,"Rockstar Toronto, Rockstar Leeds",M
Superman Returns,X360,2006,Action,Electronic Arts,0.23,0.01,0,0.02,0.26,51,48,EA Tiburon,T
Shrek the Third,Wii,2007,Action,Activision,0.25,0.01,0,0.02,0.28,57,28,Amaze Entertainment,E10+
Spider-Man: Friend or Foe,X360,2007,Action,Activision,0.26,0.01,0,0.02,0.29,60,51,Next Level Games,E10+
Naruto: Rise of a Ninja,X360,2007,Action,Ubisoft,0.29,0.01,0,0.03,0.33,78,35,Ubisoft Montreal,T
Bee Movie Game,Wii,2007,Action,Activision,0.3,0.01,0,0.03,0.33,62,16,Smart Bomb Interactive,E
Def Jam Icon,X360,2007,Action,Electronic Arts,0.3,0.01,0,0.03,0.34,69,48,EA Chicago,M
Spider-Man: Friend or Foe,PS2,2007,Action,Activision,0.31,0.01,0,0.05,0.37,62,15,Next Level Games,E10+
Crash of the Titans,PS2,2007,Action,Vivendi Games,0.34,0.01,0,0.06,0.41,70,12,Radical Entertainment,E10+
From Russia With Love,PS2,2005,Action,Electronic Arts,0.34,0.01,0,0.06,0.41,69,29,EA Redwood Shores,T
Beowulf: The Game,X360,2007,Action,Ubisoft,0.36,0.01,0,0.03,0.4,51,23,Ubisoft Shanghai,M
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005,Action,Disney Interactive Studios,0.36,0.01,0,0.06,0.43,68,36,Traveller's Tales,T
Fantastic 4,PS2,2005,Action,Activision,0.41,0.01,0,0.07,0.5,64,42,7 Studios,T
The Matrix: Path of Neo,PS2,2005,Action,Atari,0.41,0.01,0,0.07,0.49,69,42,Shiny Entertainment,T
Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.56,0.01,0,0.05,0.61,73,13,5TH Cell,E10+
LEGO Indiana Jones: The Original Adventures,PS2,2008,Action,LucasArts,0.6,0.01,0,0.76,1.37,77,12,Traveller's Tales,E10+
Drawn to Life,DS,2007,Action,THQ,0.71,0.01,0,0.06,0.78,73,34,5TH Cell,E
The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015,Action,Activision,0,0.02,0,0,0.03,59,4,"Activision, Behaviour Interactive",E
Ceville,PC,2009,Action,Kalypso Media,0,0.02,0,0,0.02,73,17,Boxed Dream,E
Kung Fu Panda,PC,2008,Action,Activision,0,0.02,0,0,0.02,71,11,Beenox,E10+
Mini Ninjas,PC,2009,Action,Eidos Interactive,0,0.02,0,0,0.02,74,14,Io Interactive,E10+
Legend of Kay Anniversary,PS4,2015,Action,Nordic Games,0,0.02,0,0,0.03,62,22,"Neon Studios, Kaiko",E10+
Invizimals: The Lost Kingdom,PS3,2013,Action,Sony Computer Entertainment,0,0.02,0,0,0.02,50,16,Magenta Software,E10+
SAW,PC,2009,Action,Konami Digital Entertainment,0,0.02,0,0,0.02,55,6,Zombie Studios,M
Spider-Man: Web of Shadows,PC,2008,Action,Activision,0,0.02,0,0,0.02,52,11,"Treyarch, Shaba Games",T
