Id_Cliente,Edad,Nivel_Educacional,Años_Trabajando,Ingresos,Deuda_Comercial,Deuda_Credito,Otras_Deudas,Ratio_Ingresos_Deudas,Default
80,20,SupInc,0,19,4.5,0.35,0.51,0.28,1
81,68,Bas,51,274,7,8.59,10.59,0.1,1
82,28,Bas,7,52,22.1,6.78,4.71,0.65,0
83,36,Med,1,31,21,0.33,6.18,0.89,1
84,23,Bas,1,19,7.2,0.71,0.66,0.45,1
85,27,Med,9,31,6.3,0.27,1.69,0.27,1
86,21,Med,1,20,20.3,0.41,3.65,1.22,1
87,24,SupCom,0,18,2.9,0.18,0.34,0.19,1
88,51,Med,3,19,4.9,0.34,0.59,0.31,1
89,53,Bas,9,41,13.3,2.33,3.12,0.46,1
90,38,Bas,11,33,10.5,1.59,1.88,0.42,1
91,26,SupInc,5,25,10.8,1.13,1.57,0.54,1
92,30,Posg,3,40,16.9,2.22,4.54,0.59,0
93,33,SupCom,4,24,27.7,3.2,3.44,1.43,0
94,33,SupCom,1,40,13.3,0.87,4.45,0.47,1
95,33,SupCom,4,24,27.7,3.2,3.44,1.43,0
96,32,SupInc,10,70,3.2,0.85,1.39,0.08,0
97,21,Med,1,23,7.4,0.26,1.44,0.4,0
98,66,Med,43,152,9,5.06,8.62,0.15,1
99,39,Med,1,27,1.4,0.1,0.28,0.07,1
100,37,SupInc,3,57,10.8,0.72,5.44,0.3,0
101,38,SupCom,10,63,12.2,2.76,4.93,0.32,1
102,39,Med,0,36,7.5,0.87,1.83,0.28,0
103,20,Med,0,19,5.9,0.07,1.05,0.37,0
104,41,Bas,9,29,5.6,0.25,1.38,0.25,1
105,37,Med,2,38,2.1,0.07,0.73,0.08,1
106,37,SupCom,3,41,14.4,2.03,3.87,0.5,1
107,20,Med,0,17,7.3,0.57,0.67,0.5,0
108,41,Med,14,76,18,9.18,4.5,0.42,0
109,41,Med,22,54,4.1,0.82,1.39,0.12,1
110,28,SupInc,7,30,8.5,0.46,2.09,0.37,1
111,26,Bas,5,47,21.7,6.14,4.06,0.68,0
112,35,Med,15,66,3.3,1.05,1.12,0.08,1
113,18,Med,0,24,5.3,0.59,0.68,0.27,1
114,66,SupInc,6,61,7.7,1.2,3.49,0.2,0
115,39,Posg,3,42,15.2,3.08,3.31,0.51,1
116,28,Posg,1,77,0.2,0.06,0.1,0,1
117,40,SupCom,17,103,13.3,10.41,3.29,0.26,0
118,45,Bas,12,44,9.8,1.6,2.72,0.32,1
119,49,SupCom,1,51,11.2,1.86,3.85,0.33,1
120,26,SupCom,0,36,17.9,3.02,3.43,0.68,0
121,70,Med,33,150,13.3,5.17,14.78,0.22,1
122,38,Posg,9,66,1.2,0.59,0.2,0.03,1
123,22,SupInc,0,14,2.5,0.26,0.09,0.2,1
124,44,SupCom,4,15,16.6,0.08,2.41,1.27,1
125,25,Med,2,26,10.3,0.86,1.82,0.5,1
126,30,Posg,2,99,1.5,0.8,0.69,0.03,1
127,28,SupInc,4,58,12.6,2.48,4.83,0.34,0
128,32,Med,0,35,18.1,1.14,5.19,0.7,0
129,22,Bas,1,19,8.9,0.49,1.2,0.56,1
130,34,Bas,11,54,10.6,3.12,2.6,0.3,1
131,18,Med,0,27,6.1,0.92,0.73,0.29,1
132,24,SupCom,0,21,6.6,0.58,0.81,0.38,0
133,33,SupInc,5,38,18.3,1.74,5.22,0.66,1
134,21,SupInc,0,41,23.4,1.97,7.63,0.8,0
135,22,SupCom,0,27,6,0.61,1.01,0.28,0
136,33,Med,9,34,12.7,3.16,1.16,0.5,0
137,37,SupCom,8,62,23.9,5.81,9.01,0.62,0
138,30,SupCom,3,38,11.9,0.8,3.73,0.43,1
139,20,SupInc,0,45,7.7,1.14,2.32,0.25,0
140,30,SupInc,6,20,9.7,0.51,1.43,0.58,0
141,19,Med,0,21,8.1,0.69,1.01,0.47,1
142,19,Med,0,34,19.3,2.2,4.36,0.76,0
143,62,Bas,4,27,13.2,1.73,1.84,0.62,1
144,22,SupInc,0,29,19.7,1.68,4.03,0.88,0
145,21,SupInc,0,22,1.5,0.1,0.23,0.08,1
146,22,SupInc,1,17,25.4,2.38,1.94,1.75,0
147,20,SupInc,0,18,17.4,0.42,2.71,1.14,1
148,38,SupInc,6,37,19.1,2.37,4.69,0.71,0
149,49,SupInc,24,90,13.9,8.06,4.45,0.29,1
150,30,Med,0,26,3.6,0.48,0.46,0.17,0
151,45,Bas,3,38,22.1,2.59,5.8,0.8,0
152,56,SupCom,14,206,27.9,15.29,42.19,0.41,0
153,36,SupCom,8,58,17.2,1.28,8.7,0.47,1
154,39,Med,9,60,9.2,2.08,3.44,0.25,1
155,54,SupCom,4,69,12,1.18,7.1,0.29,1
156,34,SupCom,11,132,4.7,1.51,4.69,0.08,1
157,30,Med,0,25,7.4,0.26,1.59,0.37,1
158,22,Bas,4,21,9,0.87,1.02,0.52,1
159,22,SupCom,0,59,3.1,0.62,1.21,0.08,1
160,45,Med,24,86,9.7,1.74,6.6,0.21,1
161,39,SupCom,16,47,16.5,4.16,3.6,0.52,1
162,42,SupInc,19,24,15.1,2,1.62,0.78,1
163,52,SupInc,17,125,0.5,0.4,0.22,0.01,1
164,19,Bas,3,22,10.9,0.47,1.93,0.6,1
165,62,Med,24,199,4.7,3.4,5.95,0.07,1
166,32,SupCom,7,71,19.5,4.13,9.72,0.47,0
167,42,Med,19,63,20.4,5.31,7.54,0.53,1
168,35,SupInc,3,54,11,1.16,4.78,0.31,1
169,23,Bas,6,29,12.9,0.59,3.15,0.57,1
170,34,Bas,6,33,6.4,0.53,1.59,0.26,1
171,45,SupInc,23,55,13.3,1.46,5.86,0.37,1
172,39,SupCom,4,47,9.7,1.67,2.89,0.3,0
173,59,SupInc,11,55,10,1.4,4.1,0.28,1
174,43,SupInc,9,57,4.5,1.81,0.76,0.12,1
175,20,SupInc,0,20,11.3,1.96,0.3,0.68,0
176,34,Med,6,45,9.1,1.31,2.78,0.29,1
177,38,SupInc,12,86,2.4,0.87,1.19,0.05,1
178,26,Bas,5,24,7.9,0.33,1.56,0.41,1
179,40,SupCom,12,87,5.8,0.54,4.5,0.12,1
180,32,SupInc,3,79,6.1,1.4,3.42,0.14,0
181,37,SupInc,4,53,15.5,1.27,6.95,0.45,1
182,26,Bas,5,47,21.7,6.14,4.06,0.68,0
183,30,SupInc,3,23,6.5,0.28,1.22,0.35,0
184,62,Med,24,199,4.7,3.4,5.95,0.07,1
185,40,SupCom,12,87,5.8,0.54,4.5,0.12,1
186,29,SupInc,3,74,3.6,0.58,2.08,0.08,1
187,23,SupCom,0,34,17,2.16,3.62,0.67,0
188,26,Med,1,48,11.2,0.16,5.21,0.35,0
189,30,Bas,12,35,5.7,1.34,0.66,0.22,1
190,29,Posg,3,55,27.1,8.35,6.56,0.76,0
191,33,SupInc,8,102,28.8,7.93,21.44,0.57,0
192,48,SupCom,24,66,4.4,0.32,2.58,0.11,1
193,41,Med,3,62,7,2.89,1.45,0.18,0
194,59,SupCom,20,144,3.4,2.49,2.4,0.06,1
195,24,Med,5,60,11.2,0.23,6.49,0.3,1
196,21,Med,1,23,9.5,0.14,2.05,0.51,1
197,19,Med,0,34,19.3,2.2,4.36,0.76,0
198,21,Med,0,20,2.2,0.1,0.34,0.13,1
199,19,Med,0,25,9.3,1.17,1.15,0.46,0
200,27,SupCom,3,36,16.2,1.39,4.44,0.61,0
201,18,Med,0,20,19,1.33,2.47,1.14,0
202,26,Med,2,36,9.4,0.77,2.61,0.36,1
203,51,SupCom,4,43,3.3,0.2,1.22,0.11,1
204,34,SupCom,9,58,28.4,4.97,11.5,0.77,0
205,34,Bas,0,26,1.9,0.18,0.32,0.09,1
206,44,SupInc,22,131,7,0.83,8.34,0.12,1
207,19,Med,0,28,2.8,0.24,0.54,0.13,0
208,26,Bas,6,46,9.8,0.34,4.17,0.31,1
209,32,Posg,0,22,14.8,0.21,3.05,0.82,1
210,42,SupCom,14,55,9.1,1.49,3.51,0.26,1
211,20,Bas,2,16,4.7,0.25,0.5,0.34,1
212,29,SupCom,5,73,25.1,2.18,16.14,0.59,0
213,36,Posg,9,108,6.5,3.62,3.4,0.13,1
214,20,Bas,2,20,18.8,1.19,2.57,1.13,0
215,52,Bas,5,36,9.8,1.4,2.13,0.37,1
216,63,Bas,22,61,13.5,1.83,6.41,0.36,1
217,65,Med,0,57,6.2,1.68,1.86,0.17,1
218,25,SupInc,3,58,20.6,3.5,8.45,0.56,1
219,30,SupInc,4,28,8.2,0.4,1.9,0.38,1
220,19,Med,0,22,16.8,1.64,2.06,0.93,0
221,18,Bas,1,18,8,0.74,0.7,0.52,0
222,20,SupInc,0,33,9.4,0.55,2.55,0.38,0
223,25,SupInc,2,19,3.4,0.19,0.46,0.21,1
224,34,SupInc,7,30,14.2,0.93,3.33,0.62,1
225,34,SupInc,0,23,6.8,0.69,0.88,0.36,0
226,31,SupCom,3,22,4.6,0.23,0.79,0.26,1
227,45,Med,1,43,2.8,0.38,0.82,0.09,1
228,25,SupCom,0,35,0.6,0.07,0.14,0.02,1
229,67,Bas,40,88,6.3,1.42,4.12,0.13,1
230,28,Posg,0,50,8.6,0.28,4.02,0.26,1
231,61,SupInc,35,327,4.6,7.63,7.42,0.06,1
232,75,Bas,22,56,7.8,1.79,2.58,0.22,1
233,38,SupCom,12,37,13.2,3.24,1.65,0.49,0
234,44,SupInc,6,39,8.9,1.82,1.65,0.32,0
235,23,Med,2,34,3.3,0.22,0.9,0.13,1
236,29,Med,0,21,12.4,0.38,2.22,0.71,0
237,24,SupCom,0,35,1.2,0.04,0.38,0.05,0
238,27,SupCom,3,41,4.8,0.55,1.41,0.16,0
239,20,SupInc,0,22,5.1,0.36,0.76,0.28,0
240,27,SupInc,3,38,9.7,0.44,3.24,0.35,0
241,45,Med,1,43,2.8,0.38,0.82,0.09,1
242,51,SupInc,10,144,4.9,0.92,6.14,0.08,1
243,61,Bas,26,78,5,0.2,3.7,0.11,1
244,54,Bas,13,105,13.6,1.63,12.65,0.27,1
245,31,Med,2,45,3.1,0.43,0.96,0.1,1
246,40,SupInc,4,87,1.2,0.86,0.18,0.03,1
247,56,SupCom,14,206,27.9,15.29,42.19,0.41,0
248,65,Bas,38,143,11.1,1.17,14.7,0.19,1
249,37,SupInc,4,53,15.5,1.27,6.95,0.45,1
250,44,Bas,9,37,18.4,2.92,3.89,0.68,1
251,30,SupCom,4,39,10.6,2.39,1.74,0.38,0
252,29,Bas,11,39,3.2,0.57,0.68,0.11,1
253,56,SupCom,22,57,2,0.49,0.65,0.06,1
254,30,SupInc,5,27,6.2,0.86,0.81,0.29,1
255,43,SupInc,16,102,2.5,0.58,1.97,0.05,1
256,66,Bas,40,149,13.1,7.79,11.73,0.22,1
257,34,Bas,10,41,14.5,1.19,4.75,0.5,1
258,30,SupCom,4,46,3.9,1.26,0.54,0.12,1
259,22,Med,3,45,11.1,1.85,3.15,0.36,1
260,30,SupCom,3,38,11.9,0.8,3.73,0.43,1
261,40,SupCom,11,238,7.9,6.34,12.47,0.11,1
262,30,SupInc,6,20,9.7,0.51,1.43,0.58,0
263,26,Med,5,42,10.6,2.13,2.32,0.36,0
264,44,Bas,14,68,14.9,1.78,8.35,0.37,1
265,18,Med,0,29,25.9,2.39,5.12,1.15,0
266,40,SupInc,17,120,10.2,4.32,7.92,0.19,1
267,50,SupCom,9,24,15.7,0.58,3.18,0.81,1
268,25,SupCom,0,30,4.9,0.2,1.27,0.21,1
269,36,Med,7,41,18.9,3.18,4.57,0.65,1
270,36,SupCom,12,35,8.1,1.05,1.78,0.31,1
271,24,Med,5,28,19.1,1.52,3.82,0.87,0
272,18,Med,0,28,9.9,1.05,1.72,0.45,1
273,64,Posg,34,116,14.7,5.05,12,0.27,1
274,22,SupCom,0,36,10.7,1.67,2.18,0.4,0
275,28,Med,7,88,10.6,2.21,7.12,0.23,1
276,66,Med,43,152,9,5.06,8.62,0.15,1
277,20,SupInc,0,27,5.1,0.53,0.85,0.24,1
278,18,Med,0,33,8.2,0.84,1.87,0.33,0
279,34,SupCom,1,40,17.6,1.68,5.36,0.62,0
280,73,Med,2,39,19.4,2.12,5.45,0.69,0
281,23,SupCom,0,47,12.3,2.1,3.68,0.38,0
282,43,Bas,6,54,2.3,0.72,0.52,0.07,1
283,23,Med,1,30,21.5,1.63,4.82,0.93,0
284,52,Med,6,55,2.9,0.93,0.66,0.08,1
285,39,Bas,8,41,0.1,0.03,0.01,0,1
286,31,Med,2,45,3.1,0.43,0.96,0.1,1
287,47,Med,6,34,4.4,0.53,0.97,0.17,1
288,28,Posg,0,57,12.4,4.52,2.54,0.34,0
289,28,Bas,2,24,1,0.11,0.13,0.05,1
290,57,Med,4,39,4.3,0.56,1.12,0.15,1
291,43,SupInc,13,71,4.2,1.41,1.57,0.1,1
292,28,Bas,8,45,6,0.72,1.98,0.19,1
293,18,Med,0,27,4.1,0.17,0.94,0.19,0
294,25,SupCom,1,15,8.9,0.56,0.78,0.68,0
295,21,SupInc,0,17,7.8,0.21,1.11,0.54,1
296,30,SupCom,5,222,2.9,1.97,4.47,0.04,1
297,30,Bas,13,42,15.3,0.94,5.48,0.52,1
298,21,Bas,1,29,24,2.2,4.76,1.07,1
299,28,Bas,7,43,23.4,0.27,9.79,0.78,0
300,57,Med,4,61,2.3,0.11,1.29,0.06,1
301,53,Bas,9,41,13.3,2.33,3.12,0.46,1
302,75,Bas,22,56,7.8,1.79,2.58,0.22,1
303,30,SupInc,5,27,6.2,0.86,0.81,0.29,1
304,23,Med,2,34,3.3,0.22,0.9,0.13,1
305,24,SupCom,0,44,13.5,2.38,3.56,0.44,0
306,53,Med,10,62,13.4,2.38,5.93,0.35,0
307,39,SupInc,16,46,11.3,1.45,3.75,0.36,1
308,28,SupCom,1,175,19.4,7.03,26.92,0.3,0
309,38,Posg,7,124,19.1,9.52,14.16,0.35,1
310,19,Med,0,30,4,0.52,0.68,0.17,1
311,26,SupCom,1,31,12.3,1.15,2.67,0.52,0
312,41,SupCom,15,89,9.2,2.55,5.63,0.2,1
313,35,Bas,5,62,8.5,1.99,3.28,0.22,0
314,41,Med,21,56,4.8,1.15,1.54,0.13,1
315,18,Med,0,36,6.2,1.05,1.18,0.23,0
316,26,Bas,1,15,6.7,0.2,0.8,0.51,1
317,21,SupInc,0,44,6.3,1.29,1.48,0.21,1
318,20,SupInc,0,45,7.7,1.14,2.32,0.25,0
319,27,SupCom,3,36,16.2,1.39,4.44,0.61,0
320,26,SupCom,1,39,2,0.33,0.45,0.07,1
321,28,Med,6,112,3.4,0.38,3.43,0.06,1
322,23,Bas,1,19,7.2,0.71,0.66,0.45,1
323,21,Bas,4,15,7.3,0.05,1.04,0.56,1
324,44,Med,2,50,2.8,0.52,0.88,0.08,1
325,28,SupCom,4,48,24.3,3.34,8.33,0.75,0
326,26,SupInc,3,18,12.9,0.4,1.92,0.85,0
327,46,SupInc,0,34,3.9,0.08,1.24,0.15,1
328,25,Bas,2,30,22.4,0.76,5.96,0.97,0
329,28,Med,3,64,9.4,1.03,4.98,0.24,0
330,24,SupCom,0,44,13.5,2.38,3.56,0.44,0
331,29,Med,1,39,10.3,2.98,1.03,0.37,0
332,25,SupCom,1,35,1.4,0.06,0.43,0.05,0
333,18,Med,0,19,14,0.56,2.1,0.88,0
334,28,SupCom,4,20,15.5,0.3,2.8,0.93,0
335,28,Med,8,40,9.8,1.36,2.56,0.34,0
336,31,SupCom,1,43,7.9,2.49,0.9,0.26,1
337,36,SupCom,10,51,13.2,3.45,3.28,0.39,1
338,26,Bas,4,34,19,0.67,5.79,0.75,0
339,39,Med,7,82,17.4,3.71,10.56,0.39,1
340,26,SupInc,0,23,10.9,1.71,0.8,0.58,0
341,32,SupCom,7,71,19.5,4.13,9.72,0.47,0
342,55,Med,32,229,4.9,3.03,8.19,0.07,1
343,23,Bas,5,48,18,1.05,7.59,0.56,0
344,28,SupInc,4,58,12.6,2.48,4.83,0.34,0
345,41,Med,4,56,7.3,2.56,1.53,0.2,1
346,23,SupCom,0,62,3,0.56,1.3,0.08,0
347,29,Med,6,27,6.3,0.13,1.57,0.3,1
348,18,Med,0,22,3.4,0.37,0.38,0.19,0
349,53,Med,30,220,12.9,2.81,25.57,0.19,1
350,44,Bas,17,107,13,3.83,10.08,0.25,1
351,18,Med,0,19,7,0.28,1.05,0.44,0
352,18,Med,0,15,8,0.22,0.98,0.61,1
353,43,SupInc,0,31,2.4,0.28,0.46,0.1,1
354,22,Med,0,30,11.5,1.69,1.76,0.5,0
355,24,SupCom,0,28,4,0.7,0.42,0.18,1
356,36,Med,16,96,12.2,5.42,6.29,0.25,1
357,19,Med,0,23,8.8,1.11,0.92,0.47,1
358,20,Bas,2,20,18.8,1.19,2.57,1.13,0
359,33,SupCom,3,34,1.2,0.23,0.18,0.05,1
360,38,SupCom,6,25,31.3,2.21,5.61,1.56,0
361,35,Med,4,57,6,1.29,2.13,0.17,1
362,35,SupCom,10,53,19,3.64,6.43,0.55,1
363,23,Med,2,17,21.3,0.3,3.32,1.47,0
364,19,Med,0,26,5.8,0.59,0.92,0.28,0
365,35,Med,9,43,14.9,2.52,3.89,0.5,1
366,46,Bas,0,25,3,0.43,0.32,0.15,1
367,21,Bas,4,44,6.4,0.99,1.83,0.21,0
368,35,SupInc,10,263,4.9,9.27,3.62,0.07,0
369,18,Med,0,19,1.5,0.06,0.22,0.09,1
370,33,Bas,3,34,2.9,0.19,0.8,0.11,0
371,23,SupCom,0,42,6.7,1.58,1.23,0.23,1
372,40,Med,0,21,36.6,4.35,3.34,2.11,0
373,29,Med,5,26,5.3,0.63,0.75,0.26,0
374,46,SupInc,13,45,22.2,3.33,6.66,0.72,0
375,30,SupInc,3,23,6.5,0.28,1.22,0.35,0
376,21,Med,1,29,5.7,0.64,1.01,0.25,1
377,32,Med,12,27,1.8,0.16,0.32,0.08,1
378,23,SupCom,0,47,8.9,0.62,3.56,0.28,1
379,63,Bas,17,103,12.3,3.47,9.2,0.24,1
380,26,SupCom,1,63,11.9,0.94,6.55,0.31,0
381,41,Med,17,68,9.6,3.06,3.47,0.24,1
382,25,Posg,0,130,5.8,1.24,6.3,0.1,0
383,23,SupInc,0,34,9.2,1.25,1.87,0.36,0
384,69,Bas,6,60,18.6,1.27,9.89,0.5,1
385,67,Med,7,58,11.4,1.59,5.03,0.31,1
386,45,Med,7,32,5.4,0.13,1.6,0.22,1
387,37,SupCom,3,41,14.4,2.03,3.87,0.5,1
388,20,Med,0,19,5.9,0.07,1.05,0.37,0
389,24,Med,4,21,3.8,0.36,0.44,0.22,1
390,24,SupCom,0,35,12.1,2.47,1.77,0.47,0
391,19,Med,0,19,3.3,0.1,0.52,0.21,0
392,31,SupInc,2,45,13.1,1.64,4.25,0.42,0
393,25,Posg,0,32,14.6,1.45,3.22,0.6,0
394,53,Bas,1,30,8.8,0.41,2.23,0.38,1
395,21,SupInc,0,23,6.8,0.69,0.87,0.36,0
396,28,SupInc,3,31,12.9,2.36,1.64,0.55,0
397,42,SupInc,18,63,11.3,2.54,4.58,0.29,1
398,22,Med,0,30,11.5,1.69,1.76,0.5,0
399,56,SupCom,22,57,2,0.49,0.65,0.06,1
400,64,Bas,26,56,20.3,2.01,9.36,0.57,1
401,26,SupInc,4,23,8.2,0.35,1.54,0.44,1
402,31,SupCom,1,69,0.4,0.19,0.09,0.01,1
403,21,Med,1,40,7.6,1.52,1.52,0.27,0
404,50,Bas,20,117,7.6,3.15,5.74,0.14,1
405,32,Med,2,30,9.4,1.18,1.64,0.41,1
406,40,SupInc,10,38,6.1,0.92,1.4,0.22,1
407,72,Med,44,187,9.2,4.71,12.49,0.14,1
408,30,SupCom,4,39,10.6,2.39,1.74,0.38,0
409,32,SupInc,1,45,13.9,1.51,4.74,0.45,0
410,30,Med,3,35,16.1,0.81,4.82,0.62,0
411,20,Med,0,34,12.9,0.9,3.49,0.51,0
412,53,Med,10,62,13.4,2.38,5.93,0.35,0
413,22,SupCom,0,56,2.8,0.41,1.16,0.08,1
414,36,Posg,9,108,6.5,3.62,3.4,0.13,1
415,37,Med,3,38,12.3,1.37,3.3,0.45,1
416,23,Bas,2,38,12.2,2.23,2.41,0.44,0
417,19,Med,0,21,2.5,0.03,0.49,0.14,1
418,37,Med,0,37,16.2,0.93,5.06,0.6,1
419,24,Med,2,34,2.4,0.27,0.54,0.09,1
420,20,Bas,2,18,2.3,0.06,0.36,0.15,1
421,34,Med,8,30,24.3,0.21,7.08,1.05,1
422,43,SupInc,5,27,21.2,2.83,2.9,1,0
423,23,SupInc,2,47,14.6,2.94,3.93,0.46,0
424,30,Med,8,68,2.4,0.27,1.36,0.06,1
425,30,Bas,6,22,15.5,0.13,3.28,0.86,0
426,25,Med,1,19,28.6,2.34,3.1,1.79,0
427,18,Med,0,35,12.3,0.87,3.44,0.47,1
428,42,Bas,15,60,6.1,2.01,1.65,0.16,1
429,24,SupInc,1,23,14.8,0.8,2.61,0.79,0
430,29,SupCom,2,55,15.6,1.48,7.1,0.44,0
431,64,Med,11,27,2.4,0.08,0.57,0.11,1
432,42,SupCom,17,54,10.3,0.29,5.27,0.29,1
433,18,Med,0,21,6.6,0.08,1.31,0.38,0
434,36,Med,1,55,19.6,6.36,4.42,0.55,0
435,18,Med,0,18,13.1,0.92,1.44,0.86,0
436,20,SupInc,0,17,10.5,0.3,1.49,0.72,1
437,26,Med,6,23,13.6,0.13,3,0.73,1
438,21,Med,2,33,6.4,0.84,1.27,0.26,0
439,61,Bas,7,35,10.4,0.7,2.94,0.4,1
440,30,Med,4,26,9.3,0.27,2.15,0.45,1
441,20,SupInc,0,33,9.4,0.55,2.55,0.38,0
442,24,SupCom,0,18,2.9,0.18,0.34,0.19,1
443,44,SupInc,7,115,14.4,1.08,15.48,0.27,0
444,30,SupCom,2,61,2.9,0.64,1.13,0.08,0
445,42,Med,3,76,5.2,0.72,3.23,0.12,0
446,34,SupInc,12,46,5.7,0.83,1.79,0.18,1
447,30,Med,2,34,11.6,1.39,2.55,0.46,1
448,36,SupInc,8,41,11.1,1.57,2.98,0.38,0
449,30,Bas,11,27,34.5,1.75,7.56,1.62,1
450,19,Med,0,19,5.4,0.37,0.65,0.34,0
451,25,SupCom,1,35,1.4,0.06,0.43,0.05,0
452,31,Med,3,45,0.7,0.13,0.19,0.02,1
453,19,Bas,1,16,3.4,0.31,0.24,0.25,0
454,28,SupInc,7,30,8.5,0.46,2.09,0.37,1
455,22,Med,0,30,11.5,1.69,1.76,0.5,0
456,62,Bas,32,86,6.3,3.97,1.45,0.14,1
457,34,SupInc,0,23,6.8,0.69,0.88,0.36,0
458,56,Bas,30,144,8.1,6.4,5.26,0.14,1
459,59,Bas,33,308,6.7,7.39,13.25,0.09,1
460,53,SupInc,31,120,9,1.7,9.1,0.17,1
461,22,SupCom,0,59,3.1,0.62,1.21,0.08,1
462,49,SupCom,1,51,11.2,1.86,3.85,0.33,1
