Fecha,Trafico
2/08/2013,1790
3/08/2013,1300
4/08/2013,932
5/08/2013,3166
6/08/2013,2900
7/08/2013,2298
8/08/2013,3036
9/08/2013,1894
10/08/2013,1362
11/08/2013,1040
12/08/2013,2304
13/08/2013,2382
14/08/2013,2376
15/08/2013,4132
16/08/2013,4290
17/08/2013,1676
18/08/2013,1280
19/08/2013,3070
20/08/2013,3532
21/08/2013,3200
22/08/2013,3006
23/08/2013,2448
24/08/2013,1414
25/08/2013,1156
26/08/2013,2598
27/08/2013,2520
28/08/2013,2406
29/08/2013,4080
30/08/2013,2890
31/08/2013,1532
1/09/2013,1310
2/09/2013,2408
3/09/2013,3136
4/09/2013,3854
5/09/2013,5960
6/09/2013,2806
7/09/2013,1592
8/09/2013,1398
9/09/2013,3510
10/09/2013,2768
11/09/2013,2720
12/09/2013,2844
13/09/2013,3426
14/09/2013,1944
15/09/2013,2190
16/09/2013,3118
17/09/2013,4452
18/09/2013,3644
19/09/2013,3342
20/09/2013,3122
21/09/2013,1750
22/09/2013,1610
23/09/2013,2786
24/09/2013,3606
25/09/2013,3592
26/09/2013,3464
27/09/2013,3420
28/09/2013,2432
29/09/2013,1760
30/09/2013,2972
1/10/2013,4706
2/10/2013,3512
3/10/2013,3118
4/10/2013,2514
5/10/2013,1566
6/10/2013,1242
7/10/2013,3412
8/10/2013,4598
9/10/2013,4192
10/10/2013,4152
11/10/2013,4550
12/10/2013,2330
13/10/2013,2698
14/10/2013,3832
15/10/2013,4286
16/10/2013,4254
17/10/2013,4432
18/10/2013,3764
19/10/2013,2034
20/10/2013,1704
21/10/2013,3758
22/10/2013,4228
23/10/2013,3988
24/10/2013,3504
25/10/2013,2922
26/10/2013,1984
27/10/2013,2082
28/10/2013,3536
29/10/2013,4030
30/10/2013,3774
31/10/2013,3408
1/11/2013,3878
2/11/2013,2474
3/11/2013,1844
4/11/2013,3754
5/11/2013,4074
6/11/2013,4098
7/11/2013,4654
8/11/2013,2898
9/11/2013,2064
10/11/2013,2244
11/11/2013,4384
12/11/2013,3262
13/11/2013,4274
14/11/2013,3982
15/11/2013,2900
16/11/2013,1928
17/11/2013,1890
18/11/2013,3730
19/11/2013,3802
20/11/2013,3580
21/11/2013,4462
22/11/2013,3112
23/11/2013,1896
24/11/2013,3066
25/11/2013,3276
26/11/2013,4768
27/11/2013,4324
28/11/2013,4426
29/11/2013,3766
30/11/2013,2710
1/12/2013,2092
2/12/2013,4042
3/12/2013,6186
4/12/2013,5078
5/12/2013,4948
6/12/2013,4558
7/12/2013,2344
8/12/2013,2414
9/12/2013,4394
10/12/2013,3850
11/12/2013,4808
12/12/2013,4772
13/12/2013,3624
14/12/2013,2166
15/12/2013,2722
16/12/2013,5252
17/12/2013,4508
18/12/2013,4708
19/12/2013,4344
20/12/2013,3474
21/12/2013,1988
22/12/2013,1862
23/12/2013,3642
24/12/2013,3198
25/12/2013,3676
26/12/2013,3376
27/12/2013,3868
28/12/2013,3084
29/12/2013,2330
30/12/2013,4928
31/12/2013,4860
1/01/2014,4516
2/01/2014,4272
3/01/2014,4244
4/01/2014,2828
5/01/2014,2382
6/01/2014,5264
7/01/2014,4222
8/01/2014,4258
9/01/2014,4118
10/01/2014,4122
11/01/2014,2664
12/01/2014,2306
13/01/2014,4774
14/01/2014,4134
15/01/2014,3892
16/01/2014,2854
17/01/2014,3004
18/01/2014,2164
19/01/2014,2216
20/01/2014,5708
21/01/2014,4982
22/01/2014,4802
23/01/2014,6070
24/01/2014,4286
25/01/2014,2346
26/01/2014,2964
27/01/2014,5466
28/01/2014,5162
29/01/2014,4636
30/01/2014,4314
31/01/2014,5430
1/02/2014,3228
2/02/2014,2522
3/02/2014,4588
4/02/2014,6426
5/02/2014,6108
6/02/2014,5206
7/02/2014,4938
8/02/2014,3828
9/02/2014,4310
10/02/2014,7196
11/02/2014,5378
12/02/2014,5190
13/02/2014,5110
14/02/2014,5668
15/02/2014,3238
16/02/2014,2814
17/02/2014,5750
18/02/2014,5582
19/02/2014,5512
20/02/2014,4646
21/02/2014,4108
22/02/2014,2780
23/02/2014,2742
24/02/2014,5426
25/02/2014,5252
26/02/2014,6530
27/02/2014,5552
28/02/2014,4908
1/03/2014,2942
2/03/2014,2608
3/03/2014,5472
4/03/2014,5672
5/03/2014,6334
6/03/2014,5578
7/03/2014,5110
8/03/2014,3024
9/03/2014,2928
10/03/2014,5836
11/03/2014,5466
12/03/2014,6336
13/03/2014,5738
14/03/2014,5122
15/03/2014,2922
16/03/2014,2856
17/03/2014,5032
18/03/2014,5122
19/03/2014,4620
20/03/2014,2998
21/03/2014,3576
22/03/2014,3096
23/03/2014,2866
24/03/2014,5138
25/03/2014,5668
26/03/2014,4756
27/03/2014,2882
28/03/2014,4986
29/03/2014,3486
30/03/2014,3142
31/03/2014,5580
1/04/2014,6250
2/04/2014,5812
3/04/2014,5306
4/04/2014,5388
5/04/2014,3326
6/04/2014,3280
7/04/2014,7028
8/04/2014,5546
9/04/2014,6058
10/04/2014,10384
11/04/2014,7874
12/04/2014,4636
13/04/2014,3568
14/04/2014,6964
15/04/2014,6330
16/04/2014,6202
17/04/2014,6182
18/04/2014,5928
19/04/2014,3798
20/04/2014,3374
21/04/2014,5360
22/04/2014,6310
23/04/2014,6738
24/04/2014,6820
25/04/2014,5852
26/04/2014,4722
27/04/2014,4620
28/04/2014,6370
29/04/2014,6650
30/04/2014,6812
1/05/2014,6430
2/05/2014,5728
3/05/2014,4486
4/05/2014,3504
5/05/2014,6042
6/05/2014,5838
7/05/2014,5896
8/05/2014,6388
9/05/2014,6944
10/05/2014,3966
11/05/2014,3154
12/05/2014,6826
13/05/2014,6686
14/05/2014,6390
15/05/2014,6088
16/05/2014,6768
17/05/2014,4370
18/05/2014,3622
19/05/2014,6822
20/05/2014,8102
21/05/2014,9670
22/05/2014,8936
23/05/2014,7132
24/05/2014,5668
25/05/2014,5254
26/05/2014,8146
27/05/2014,8006
28/05/2014,10410
29/05/2014,8202
30/05/2014,6720
31/05/2014,4592
1/06/2014,5328
2/06/2014,8380
3/06/2014,9162
4/06/2014,8926
5/06/2014,11886
6/06/2014,9730
7/06/2014,5856
8/06/2014,5604
9/06/2014,8922
10/06/2014,8792
11/06/2014,8962
12/06/2014,7540
13/06/2014,6950
14/06/2014,4190
15/06/2014,4432
16/06/2014,8570
17/06/2014,8086
18/06/2014,8300
19/06/2014,6802
20/06/2014,9118
21/06/2014,5282
22/06/2014,5540
23/06/2014,10066
24/06/2014,8932
25/06/2014,8488
26/06/2014,9486
27/06/2014,6776
28/06/2014,5238
29/06/2014,4710
30/06/2014,7548
1/07/2014,7836
2/07/2014,7826
3/07/2014,7774
4/07/2014,9442
5/07/2014,6250
6/07/2014,6732
7/07/2014,9600
8/07/2014,8214
9/07/2014,9732
10/07/2014,9922
11/07/2014,9148
12/07/2014,5858
13/07/2014,4922
14/07/2014,8530
15/07/2014,8302
16/07/2014,7956
17/07/2014,7734
18/07/2014,8466
19/07/2014,7934
20/07/2014,8184
21/07/2014,11946
22/07/2014,11012
23/07/2014,10130
24/07/2014,8156
25/07/2014,7192
26/07/2014,6562
27/07/2014,6094
28/07/2014,8546
29/07/2014,8218
30/07/2014,8498
31/07/2014,8740
1/08/2014,9186
2/08/2014,6278
3/08/2014,5340
4/08/2014,8872
5/08/2014,7724
6/08/2014,9170
7/08/2014,8036
8/08/2014,8406
9/08/2014,5462
10/08/2014,5822
11/08/2014,12928
12/08/2014,14762
13/08/2014,14878
14/08/2014,9672
15/08/2014,8432
16/08/2014,7624
17/08/2014,6750
18/08/2014,9912
19/08/2014,13104
20/08/2014,12022
21/08/2014,10952
22/08/2014,9944
23/08/2014,7282
24/08/2014,7360
25/08/2014,10764
26/08/2014,12510
27/08/2014,12496
28/08/2014,9102
29/08/2014,9930
30/08/2014,8462
31/08/2014,6964
1/09/2014,10464
2/09/2014,13764
3/09/2014,12216
4/09/2014,10704
5/09/2014,12780
6/09/2014,8156
7/09/2014,6876
8/09/2014,10224
9/09/2014,13104
10/09/2014,11592
11/09/2014,10180
12/09/2014,9010
13/09/2014,6080
14/09/2014,5716
15/09/2014,10688
16/09/2014,16080
17/09/2014,13676
18/09/2014,11000
19/09/2014,13034
20/09/2014,8186
21/09/2014,9102
22/09/2014,14116
23/09/2014,13304
24/09/2014,16856
25/09/2014,14152
