,book,name,date,rating,likes,description,stars_given
111,Harry Potter and the Deathly Hallows,DarthJ,"Apr01,2013",itwasamazing,192 likes,"(So I never did a review of this and am deciding to add one now.)I'm a Millennial, and like most Millennials, I grew up with Harry Potter. Not just the books, but we kinda aged with him (or thereabouts). It's a coming of age story for our whole generation, whether or not we received our Hogwarts letters.And we were there together. We were at midnight release parties and movie theaters, lined up and excited to share in the adventure. I can't think of the number of people who I've bonded with over
(So I never did a review of this and am deciding to add one now.)I'm a Millennial, and like most Millennials, I grew up with Harry Potter. Not just the books, but we kinda aged with him (or thereabouts). It's a coming of age story for our whole generation, whether or not we received our Hogwarts letters.And we were there together. We were at midnight release parties and movie theaters, lined up and excited to share in the adventure. I can't think of the number of people who I've bonded with over these stories--people who I wouldn't have thought to have much in common with in the first place. We came from all different backgrounds, much like the 4 houses, and joined in the Battle of Hogwarts.We mourned the deaths of beloved characters.And cheered on the sheer wit and bravery of others.We debated what Harry should have done with the Elder Wand.But we never let go of this world. We continue to relive these memories through fan fiction, arts and crafts, music, food and drink, and theme parks.Being that it came out nearly a decade ago, I think it holds up pretty well.
",5
112,Harry Potter and the Deathly Hallows,April,"Dec17,2017",itwasamazing,182 likes,I always wonder how the characters are doing after a series ends🤔,5
113,Harry Potter and the Deathly Hallows,Melissa♥Dog/WolfLover♥Martin,"Mar21,2013",itwasamazing,177 likes,"I remember when the hardback came out. Wal-Mart was having a big to do at midnight but I worked 3rd shift at the post office at that time. I stopped by after work around 7 ish am and there were a few copies left. I was so excited and I ended up not getting much sleep and was tired that night at work because I couldn't put the book down. And I cried and cried. I still do. Some of these books do that to me no matter how many times I read the books. Happy Reading! Mel 🖤🐾🐺
I remember when the hardback came out. Wal-Mart was having a big to do at midnight but I worked 3rd shift at the post office at that time. I stopped by after work around 7 ish am and there were a few copies left. I was so excited and I ended up not getting much sleep and was tired that night at work because I couldn't put the book down. And I cried and cried. I still do. Some of these books do that to me no matter how many times I read the books. Happy Reading! Mel 🖤🐾🐺
",5
114,Harry Potter and the Deathly Hallows,SeanBarrs,"Jun12,2014",itwasamazing,170 likes,"This review has been hidden because it contains spoilers. To view it,
                    click here.


Here are three reasons why this book is dynamite:1. This series never lost any momentum and here it ended spectacularly in such a dramatic final confrontation.  2. Rowling shows us that even the nastiest of people deserve a degree of sympathy. Draco’s story was more complex than we realised. He was never the person he secretly wanted to be: a good man.  3.This scene was written superbly, the saddest moment of the series for me.  
Here are three reasons why this book is dynamite:1. This series never lost any momentum and here it ended spectacularly in such a dramatic final confrontation.  2. Rowling shows us that even the nastiest of people deserve a degree of sympathy. Draco’s story was more complex than we realised. He was never the person he secretly wanted to be: a good man.  3.This scene was written superbly, the saddest moment of the series for me.  
",5
115,Harry Potter and the Deathly Hallows,April(ApriliusMaximus),"Jul05,2013",itwasamazing,161 likes,"1.) Harry Potter and the Philosopher's Stone ★★★★★2.) Harry Potter and the Chamber of Secrets ★★★★★3.) Harry Potter and the Prisoner of Azkaban ★★★★★4.) Harry Potter and the Goblet of Fire ★★★★★5) Harry Potter and the Order of the Phoenix ★★★★★6.) Harry Potter and the Half Blood Prince ★★★★★7) Harry Potter and the Deathly Hallows ★★★★★8.) Harry Potter and the Cursed Child ★★--------------------------------------------------2017 - I DID IT! I finished rereading the HP series with less than 3 hour
1.) Harry Potter and the Philosopher's Stone ★★★★★2.) Harry Potter and the Chamber of Secrets ★★★★★3.) Harry Potter and the Prisoner of Azkaban ★★★★★4.) Harry Potter and the Goblet of Fire ★★★★★5) Harry Potter and the Order of the Phoenix ★★★★★6.) Harry Potter and the Half Blood Prince ★★★★★7) Harry Potter and the Deathly Hallows ★★★★★8.) Harry Potter and the Cursed Child ★★--------------------------------------------------2017 - I DID IT! I finished rereading the HP series with less than 3 hours left in the year WOOP2016 - This is the fourth time I read this particular book and this time I listened to the audiobook narrated by Stephen Fry and IT WAS AMAZING <3Around the Year in 52 Books Challenge Notes - 38. A book about an anti-hero (I kind of cheated - it only features an anti-hero)
",5
116,Harry Potter and the Deathly Hallows,AjtheRavenousReader,"Mar02,2016",itwasamazing,161 likes,"***** CONTAINS SPOILERS SO MAYBE DON'T READ THIS WHEN YOU HAVEN'T READ THE BOOK YET. :) *****  “The true master of death does not seek to run away from death. He accepts that he must die and understands that there are far worse things in the living world than dying.”  -Albus Dumbledore 
To you, yes you, reader of this review
, should you decide to read this review from beginning up to the very end, I offer you my deep thanks for your resilience, bravery and loyalty for this may be one of the 
 ***** CONTAINS SPOILERS SO MAYBE DON'T READ THIS WHEN YOU HAVEN'T READ THE BOOK YET. :) *****  “The true master of death does not seek to run away from death. He accepts that he must die and understands that there are far worse things in the living world than dying.”  -Albus Dumbledore 
To you, yes you, reader of this review
, should you decide to read this review from beginning up to the very end, I offer you my deep thanks for your resilience, bravery and loyalty for this may be one of the longest reviews you’ll ever read on Goodreads. You still have time to back out though, so don’t tell me you haven’t been warned.^^
To J.K. Rowling, 
there is no argument about your brilliance. You are a certified genius, a person with superhuman writing ability and imagination and I can’t praise you enough for writing these books that have forever changed my life. But you’re still human and surely you’ve recognized your flaws. One of which is your penchant for killing your characters. You can’t blame me for thinking that one of the reasons you created so many great and memorable characters is for you to be able to kill as many of them as you want to. I accept though with the heaviest heart that certain characters needed to die, needed to sacrifice their lives for the greater good but I find no good reason for the death of (view spoiler)[Fred! (hide spoiler)]. Why? Why kill him? Haven’t you killed enough already? Why did he even have to die?! Why not Percy instead? (kidding). I honestly think no Weasley should have died for obvious reasons I don’t think I still have to enumerate. Also, I honestly believe the last book lacks at least 200 more pages. Why jump to 19 years later epilogue right after the devastating war? Don’t the rest of the other characters deserve a few pages about them? A simple tribute perhaps to all their sacrifice and pain and loss? I have gone so far, have read hundreds and hundreds of pages from book one only to be spared of better resolutions before an epilogue. Also, don’t you think (view spoiler)[Professor Severus Snape (hide spoiler)] deserved a better, more respectful way to die? And whatever happened to (view spoiler)[Professor Moody’s (hide spoiler)]body? So you see, even though I admire you with 99.72 percent of my heart, .28 percent percent is resenting your choices. But thank you. Now my heart is tougher and braver. Characters in the next books I read could all die and I probably wouldn’t shed a tear. I just wish I read your books before Allegiant and Mockingjay. I probably would have considered those happy endings. 
To Harry Potter
, I will never forget your brave and pure heart. You showed me that heroes can be an average boy with no special superpowers except courage, trustworthy instincts and strength of will, oh and of course, a bunch of awesome wizards and witches supporting and protecting him the best way they can.  
To Hermione Granger 
, you are the most kick-ass heroine I’ve ever met without needing to actually kick ass. You only needed your intellect, level headedness and kind heart and like Ron said, without you and your beaded bag, he and Harry would not have survived a day during your quest. 
To Ron Weasley
, you probably are the biggest idiot in the story but you showed the best of you in times you are needed the most. I admire your loyalty, sarcasm and free spirit and there is no better man for Hermione than you.  
To Fred and George
, when in tears, I could always count on you guys for a good laugh. It's no fun without you. (view spoiler)[George, it’s hard enough losing a part of your body but to have to lose your twin brother too. Oh Gaaaaawd! *wails*  (hide spoiler)] 
To Hagrid (and Graupy) 
, *hugs* I’ll never forget your gallons of tears and rock cakes! Thank you for your loyalty, friendship and bravery. You will be remembered for generations.  
To Professor Snape,
you are indeed the bravest of them all. Your sacrifice is utterly selfless and certainly the biggest of all. Your memories Harry and I saw in Dumbledore’s Pensieve ripped my heart to pieces and I spent days and nights crying for you. You're a true hero and you deserve a monument. Maybe I'll name my son after you. *wails* 
To Professor Dumbledore
, you are the true epitome of sacrifice, love and humility. You find something good in every person and you never fail to offer kindness even to those others deem undeserving. 
To Dumbledore’s Army led by Neville, Luna, Ginny,
, you guys are awesome! 
To the Order of the Phoenix,
 you were amazing especially you Mrs. Weasley! I’m so sorry for your losses but thank you, thank you so much. 
To the Hogwarts Professors led by Prof. Mc Gonagall
, you did an amazing job holding off Voldy! You were all brilliant! 
To the Malfoys,
uh I don’t know. How about I just stick my tongue out at the lot of you! 
To Dobby, 
 *wails* I can’t…just thank you so much. You’re the most loyal elf. The bravest free elf I know. 
To Kreacher,
 you poor thing. I had no idea what you had to go through and what made you the way you are. In the end, thank you for your bravery and for leading the elves to the battle. 
To the Death Eaters and Snatchers led by Bellatrix and Greyback
, I have two words foryou. “AVADA KEDAVRA!” 
To Umbridge,
 off to Azkaban, you go!  
To Voldemort
, that’s right, I dare! I am completely with Harry, You don’t learn from your mistakes, Riddle, do you? 
To the rest of the fallen,
 (view spoiler)[Professor Moody, Cedrick, Sirius, Remus, Tonks, James and Lily, Colleen Creevey and many others (hide spoiler)], like Neville said, your death was not in vain. Thank you! *wails* 
To the movie makers and actors
, thank you for bringing to life the characters we love. We will always look up to you people. Don't you dare disappoint us!^^
To my Goodreads friends who bullied me into reading Harry Potter,
 thank you for destroying my life! I was doing perfectly fine without these books. You wrecked me pretty bad especially when I was reading the last book. I felt like hundreds of Dementors were surrounding me while reading it that I had to constantly cast a Patronus Charm while reading. It was really exhausting. My Patronus is a baby elephant, btw! Oh and I'm House Gryffindor, hurray! I'm afraid, I'm becoming worse than Luna Lovegood.
To Jia and Kyra
, HAPPY BIRTHDAY, my young, smart and beautiful friends (March 06 is their actual birthday). You are both gifted for having such passion for reading at such young ages. Savor that gift and seize your most special day! <3
",5
117,Harry Potter and the Deathly Hallows,chloe,"Nov30,2013",itwasamazing,149 likes,3rd: August 2018 (audiobook)Listening to this on audiobook was a dream come true. It was like watching a 100% faithful adaptation of the book. Perfection 😭💕I LOVED my re-read of the series via the Stephen Fry audiobooks. It was magical. ✨2nd read: Feb-April 2018I. Am. Dead. I already want to re-read the series again 😭,5
118,Harry Potter and the Deathly Hallows,NReads,"Sep15,2014",itwasamazing,144 likes,I miss this world.,5
119,Harry Potter and the Deathly Hallows,Reynita★TheNightReader★,"Nov25,2016",itwasamazing,140 likes,"REVIEW TO COME TOMORROW
'Do not Pity the dead, Harry. Pity the living, and above all, those who live without love.'
it still feels weird to me me for finishing this series. I mean, I had read this series since August and I feel really ... weird. I feel like I just bought the first book yesterday instead of months ago. I feel like I just read the first book yesterday instead of months ago. Months ago, I thought I would feel okay when I finished this series but I do not feel that way. I feel ...
REVIEW TO COME TOMORROW
'Do not Pity the dead, Harry. Pity the living, and above all, those who live without love.'
it still feels weird to me me for finishing this series. I mean, I had read this series since August and I feel really ... weird. I feel like I just bought the first book yesterday instead of months ago. I feel like I just read the first book yesterday instead of months ago. Months ago, I thought I would feel okay when I finished this series but I do not feel that way. I feel ... like empty or hollow on the inside, you know what I mean, right? like there is this sad feeling and you just want to read it forever and ever but you can't because the story is over and there is nothing you can do. the only thing you can do is hugging the book because that way you would feel much better, like you actually hug the main characters.maybe this is how it feels like when you have to say goodbye to your best friends who have always be with you. no matter how difficult the situation is but they are there. I always envy those people who grew up with Harry Potter series. I envy them because they have such incredible childhood and me, I was a muggle that time and I used to hate reading novels so much and I had never once thought that I would love reading novels as much as I love breathing. Harry Potter series also has a great impact in my life. I was the kind of girl who always shy and never be myself because before reading HP I wanted people to like me, so I became what they wanted me to be and I rarely stood up for myself even when I knew I was right but Harry Potter series has changed me. you guys do know Luna, don't you? many people called her "" Loony "" because she believed in many things but Luna didn't care what they called her, she kept being herself and she had never ashamed to show her true self and that was the time I realized I was such a stupid girl who let my so-called friends changed me to be the girl I didn't even want me to be and now, my friends often say that I am such a weirdo or crazy girl who is very different from them because I love reading books so much and you know what? I just don't care about them anymore. I don't care when they say about me such a weirdo because I am not ashamed of being myself anymore because this is who I am and Luna also taught me one more thing, when you are being yourself and everyone teases you because of it. don't you ever worry about it because your true friends will come to you. these friends will accept who you are. Just like Luna who has amazing friends, Harry Ron, Ginny, Hermione and Neville.like I told you, I used to be very shy that I never stood up for even myself. few weeks ago, my friend who always insulted me, she insulted me again and no one in class was brave enough to stand up for themselves. the next thing I knew was that I snapped back at her and she was shocked and she has never insulted me again since that accident and she is kind of nice to me and we're friends now.This series has changed me to be a braver person. I don't think I can say this is a review because it's all about me and one more thing,,(view spoiler)[ I will never ever forget 2nd May 1998. I lost so many great friends Remus, Tonks, Colin, Fred, Sirius and many more.   (hide spoiler)]I really want to say many thank you to Mrs. J. K. Rowling who wrote this awesome series because this series has changed me to be a better person and this series also changed me to be so much braver person. Thank you very much, Mrs. J. K. Rowling and thank you very much for reading this guys. ❤❤❤P.S. I found all these wonderful pictures on Google. Many thanks for the creators.
",5
120,Harry Potter and the Deathly Hallows,♛may,"Jan29,2018",reallylikedit,135 likes,"no one ask me about the book bc i literally remember nothing from it. also the ending was cute. also im bitter about (view spoiler)[ FRED AND LUPIN AND DOBBY DYING WHY THE HELL (hide spoiler)] ~~~~~~~~~~~~~~~~~~~~~~~~look at me finishing this series :') and it only took 20 years im not even kidding herei feel like this is an unpopular opinion but.....i kinda hardcore ship hermione and ron bye
no one ask me about the book bc i literally remember nothing from it. also the ending was cute. also im bitter about (view spoiler)[ FRED AND LUPIN AND DOBBY DYING WHY THE HELL (hide spoiler)] ~~~~~~~~~~~~~~~~~~~~~~~~look at me finishing this series :') and it only took 20 years im not even kidding herei feel like this is an unpopular opinion but.....i kinda hardcore ship hermione and ron bye
",4
121,Harry Potter and the Deathly Hallows,Rion,"Jul24,2007",itwasamazing,131 likes,"***SPOILERS:From an interview with Rowling on the Today show:http://www.msnbc.msn.com/id/19...Rowling said her original epilogue was “a lot more detailed,” including the name of every child born to the Weasley clan in the past 19 years. (Victoire, who was snogging Teddy — Lupin and Tonks’ son — is Bill and Fleur’s eldest.)Harry, Ron and HermioneWe know that Harry marries Ginny and has three kids, essentially, as Rowling explains, creating the family and the peace and calm he never had as a child
***SPOILERS:From an interview with Rowling on the Today show:http://www.msnbc.msn.com/id/19...Rowling said her original epilogue was “a lot more detailed,” including the name of every child born to the Weasley clan in the past 19 years. (Victoire, who was snogging Teddy — Lupin and Tonks’ son — is Bill and Fleur’s eldest.)Harry, Ron and HermioneWe know that Harry marries Ginny and has three kids, essentially, as Rowling explains, creating the family and the peace and calm he never had as a child.As for his occupation, Harry, along with Ron, is working at the Auror Department at the Ministry of Magic. After all these years, Harry is now the department head.“Harry and Ron utterly revolutionized the Auror Department,” Rowling said. “They are now the experts. It doesn’t matter how old they are or what else they’ve done.”Meanwhile, Hermione, Ron’s wife, is “pretty high up” in the Department of Magical Law Enforcement, despite laughing at the idea of becoming a lawyer in “Deathly Hallows.”“I would imagine that her brainpower and her knowledge of how the Dark Arts operate would really give her a sound grounding,” Rowling said.Harry, Ron and Hermione don’t join the same Ministry of Magic they had been at odds with for years; they revolutionize it and the ministry evolves into a “really good place to be.”“They made a new world,” Rowling said.The wizarding naturalistLuna Lovegood, the eccentric Ravenclaw who was fascinated with Crumple-Horned Snorkacks and Umgubular Slashkilters, continues to march to the beat of her own drum.“I think that Luna is now traveling the world looking for various mad creatures,” Rowling said. “She’s a naturalist, whatever the wizarding equivalent of that is.”Luna comes to see the truth about her father, eventually acknowledging there are some creatures that don’t exist.“But I do think that she’s so open-minded and just an incredible person that she probably would be uncovering things that no one’s ever seen before,” Rowling said.Luna and Neville Longbottom?It’s possible Luna has also found love with another member of the D.A.When she was first asked about the possibility of Luna hooking up with Neville Longbottom several years ago, Rowling’s response was “Definitely not.” But as time passed and she watched her characters mature, Rowling started to “feel a bit of a pull” between the unlikely pair.Ultimately, Rowling left the question of their relationship open at the end of the book because doing otherwise “felt too neat.”Mr. and Mrs. Longbottom: “The damage is done.”There is no chance, however, that Neville’s parents, who were tortured into madness by Bellatrix Lestrange, ever left St. Mungo’s Hospital for Magical Maladies.“I know people really wanted some hope for that, and I can quite see why because, in a way, what happens to Neville’s parents is even worse than what happened to Harry’s parents,” Rowling said. “The damage that is done, in some cases with very dark magic, is done permanently.”Rowling said Neville finds happiness in his grandmother’s acceptance of him as a gifted wizard and as the new herbology professor at Hogwarts.The fate of HogwartsNineteen years after the Battle of Hogwarts, the school for witchcraft and wizardry is led by an entirely new headmaster (“McGonagall was really getting on a bit”) as well as a new Defense Against the Dark Arts teacher. That position is now as safe as the other teaching posts at Hogwarts, since Voldemort’s death broke the jinx that kept a Defense Against the Dark Arts professor from remaining for more than a year.While Rowling didn’t clarify whether Harry, Ron and Hermione ever return to school to finish their seventh year, she did say she could see Harry popping up every now and again to give the “odd talk” on Defense Against the D
",5
122,Harry Potter and the Deathly Hallows,GerasimosReads,"Aug10,2012",itwasamazing,126 likes,"TRANS WOMEN ARE WOMEN. TRANS MEN ARE MEN. NON-BINARY PEOPLE ARE NON-BINARY.Harry Potter changed my life and the memories I have associated with it can never be changed or tarnished no matter what its creator says or does. Her comments have caused me so much pain and disappointment and even if one day she realises how ignorant and hateful she has been it is now too late to amend the harm she has caused. Nevertheless, like Daniel Radcliffe said, the relationship between a reader and a book is sacr
TRANS WOMEN ARE WOMEN. TRANS MEN ARE MEN. NON-BINARY PEOPLE ARE NON-BINARY.Harry Potter changed my life and the memories I have associated with it can never be changed or tarnished no matter what its creator says or does. Her comments have caused me so much pain and disappointment and even if one day she realises how ignorant and hateful she has been it is now too late to amend the harm she has caused. Nevertheless, like Daniel Radcliffe said, the relationship between a reader and a book is sacred and nothing can change that. Harry Potter is no longer hers and I will continue loving and cherishing this world and these characters forever (and yes, I will be re-reading the series and watching the movies time and time again during my lifetime). However, I can no longer support her or her future work. Rowling is TRANSPHOBIC and supporting her in any way, shape or form supports her views and harms trans people and the LGBTQ+ community profoundly. I cannot take back the money I have given her already, but I can choose to never again spend money that will go directly in her pockets. I want to use this space to encourage everyone to support trans authors and read more literature featuring trans characters. This page is a good place to start.Please consider donating to a trans charity of your choice (MermaidsUK could be a place to start, because they have been directly attacked by Rowling) and click here to find about more trans organisations in the UK and what you can do to help. If you still love Harry Potter that’s okay but stop supporting Rowling and stop putting any more money in her pockets. Let’s all actively work together to make this fandom inclusive to everyone and show trans people especially that we are a loving community who would never question their identity or experience. PS. I have this on the signed section because my copy is signed by Daniel Radcliffe (who in my head is now the real author of Harry Potter anyway):
",5
123,Harry Potter and the Deathly Hallows,Julie,"Feb03,2012",itwasamazing,124 likes,"My oldest daughter and I started the Harry Potter series this past December and finished the last book today. It took me 7 months to read the 7 books out loud to her. Seven. A magical number! J.K. Rowling would be proud.It was a reread for me, the first time for her, and as we closed the cover on The Deathly Hallows, we experienced a moment of silent awe, then one of us (I won't say who) shed a few tears.We sat there, quietly, staring at each other in wonder. Will we ever have a shared reading e
My oldest daughter and I started the Harry Potter series this past December and finished the last book today. It took me 7 months to read the 7 books out loud to her. Seven. A magical number! J.K. Rowling would be proud.It was a reread for me, the first time for her, and as we closed the cover on The Deathly Hallows, we experienced a moment of silent awe, then one of us (I won't say who) shed a few tears.We sat there, quietly, staring at each other in wonder. Will we ever have a shared reading experience of this magnitude again?? As we got up and stretched, somewhat unsure of what to do with ourselves, my daughter said, “Mom. I wish you really were magic right now. You could point your wand at me and erase my memory of reading this and then I could start it, for the first time, all over again.”“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”
",5
124,Harry Potter and the Deathly Hallows,WillByrnes,"Nov05,2008",itwasamazing,124 likes,"And so it comes to a close, this amazing series, with a battle royal. Which of our most loved and most loathed characters will survive? Which side will prevail? What secrets will be revealed in this final episode? The Harry Potter series is one of the triumphs not only of modern marketing but of contemporary literature. While the danger in any series exists that the joy of newness has rubbed off, Rowling keeps us interested by offering continued mystery, diversity, characters we can relate to an
And so it comes to a close, this amazing series, with a battle royal. Which of our most loved and most loathed characters will survive? Which side will prevail? What secrets will be revealed in this final episode? The Harry Potter series is one of the triumphs not only of modern marketing but of contemporary literature. While the danger in any series exists that the joy of newness has rubbed off, Rowling keeps us interested by offering continued mystery, diversity, characters we can relate to and a palette of literary reference that gives resonance to her creation. You will cry at the end, but those tears may be because there will be no more Harry Potter books to read...well, for a while anyway. 
",5
125,Harry Potter and the Deathly Hallows,Christy,"Dec19,2016",reallylikedit,123 likes,"I started the Harry Potter audio books at the end of August 2016. It took me a little over 4 months to listen to them all (I fit a few others in-between) but I’m so happy I finally finished. If you haven’t read them before, or you’re a long time fan looking for a re-read I can’t recommend the audio books enough. Jim Dale does a fantastic job with the narration. I can see myself going back one day and listening to them all over again! Now to the final book of the series: Harry Potter and the 


I started the Harry Potter audio books at the end of August 2016. It took me a little over 4 months to listen to them all (I fit a few others in-between) but I’m so happy I finally finished. If you haven’t read them before, or you’re a long time fan looking for a re-read I can’t recommend the audio books enough. Jim Dale does a fantastic job with the narration. I can see myself going back one day and listening to them all over again! Now to the final book of the series: Harry Potter and the Deathly Hallows. The book begins with Harry, Ron and Hermione on the run doing the task that Dumbledore gave Harry. To be honest, the first part of the book (and by first part, I mean the first 70-80% or so) was a little slow for me. There were exciting things to pop up here and there, but a lot of it was slow. Then the last few hours of the audiobook happened. I’ve gotta say, once this trio got back to Hogwarts, the ending was epic. There were moments of sorrow, moments that made me laugh, smile, cry… it was very emotional (view spoiler)[GAWD that Snape scene.… I can’t even! It made me cry like a baby. And love a character I didn’t care for much! (hide spoiler)]. I’m pleased with the way it ended. Overall, this series has been fantastic for me. I’m so glad I finally made the time to read them all. I’ve always loved the movies and been a fan, but now I feel like I need to go and re-watch everything! Harry Potter is a heartwarming series with courageous characters that I will hold near and dear to my heart. 
",4
126,Harry Potter and the Deathly Hallows,P,"Jul08,2015",itwasamazing,120 likes,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.” 
Harry Potter and the Deathly Hallows literally touched the deepest part of my heart. This book has many layers and each one was refined by the smartest author I've ever known. J.K. Rowling always has a plan, she never threw anything into her books without thinking it first. In this case, I think she planned the ending of this book since she started writing for sure, and every point she emphasized in H

“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.” 
Harry Potter and the Deathly Hallows literally touched the deepest part of my heart. This book has many layers and each one was refined by the smartest author I've ever known. J.K. Rowling always has a plan, she never threw anything into her books without thinking it first. In this case, I think she planned the ending of this book since she started writing for sure, and every point she emphasized in HP 7 was unfaltering and made me believe that it's a pure diamond when she ended her story with an epic score.
“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?” 
Harry, Ron and Hermione prove themselves that they're just ordinary humans. They bicker. They argue each other. They make the sly plan. Importantly, they get to know how to forgive and forget, that's all that matters.
“We're all human, aren't we? Every human life is worth the same, and worth saving.”
This book is EVERYTHING. It became much more than just a fiction for me. It had its voice and when it whispered in my ears, I literally believed that there was magic in this world. Each chapter made me strong and wanted to be someone better. Each character epitomized a different kind of person. This book doesn't deserve five stars review, it's beyond measure and a thousand stars are not even enough.
Albus Severus,"" Harry said quietly, so that nobody but Ginny could hear, and she was tactful enough to pretend to be waving to Rose, who was now on the train, ""you were named for two headmasters of Hogwarts. One of them was a Slytherin and he was probably the bravest man I ever knew.”
More at http://goo.gl/RWrdg3
",5
127,Harry Potter and the Deathly Hallows,Jessica,"Jul18,2007",itwasamazing,114 likes,"Wow.So, I've never reviewed this before, because, what can you say about it?! I bought it at a midnight release party, devoured it, and knew that I loved it.But now that I've spent the last couple of weeks reading it aloud to my son, I understand why I loved it so much. Does anyone fully appreciate the scope of what Rowling did with this book? She spent years upon years, and six other books building a world and populating it with characters, and then she BROUGHT IT AND THEM ALL TOGETHER. Spells,
Wow.So, I've never reviewed this before, because, what can you say about it?! I bought it at a midnight release party, devoured it, and knew that I loved it.But now that I've spent the last couple of weeks reading it aloud to my son, I understand why I loved it so much. Does anyone fully appreciate the scope of what Rowling did with this book? She spent years upon years, and six other books building a world and populating it with characters, and then she BROUGHT IT AND THEM ALL TOGETHER. Spells, tools, people, events, that had been sprinkled throughout the other six books were now smoothly woven together into this last great battle. And yes, they spend a lot of time camping, but as Harry says to Ron, ""Did you think we'd be finding a Horcrux a day?"" No, I didn't, or at least I hoped that they wouldn't, because that would have been too pat, too unrealistic. Instead, they had to search, they had to learn, they had to struggle, and be bored, and be lost, and then find what they needed. The Ron-Harry-Hermione friendship is tested, and found to be unbreakable. Ron and Hermione's relationship moves forward, Harry has time to reflect on his life, the people who have helped him, what his future might hold.And I loved it. I loved the moments of solemn reflection. I loved the testing of loyalties, revelations about the youth of Dumbledore and Snape (and if you don't bawl like a baby reading about Snape's memories, YOU HAVE NO SOUL!), Lily and even Petunia. There are no throwaway characters in Rowling's world, yet it isn't just some endless catalogue of: And Dean did this, and Neville did this . . . Everything is part of one whole, beautiful story. The Weasleys continue to show their strength and love for Harry (and if you don't cry when Percy shows up, or when Fred . . . you know . . . YOU HAVE NO SOUL!), Neville proves that he is his parents' son, and a true Gryffindor . . . and in short, there are so many stand up and cheer moments that I couldn't sit still while I was reading it. Of course, there are many, many tragedies, but after each tragedy, a moment of triumph to balance it, for which I say:Thank you, J. K. Rowling, for creating one of the best, most magical series for children of all time. Thank you for giving us Harry, Ron, Hermione, Fred and George, Ginny and Luna, and so many wonderful moments.And thank you, most of all, for not screwing up the grand finale.Best. Series ender. Ever.2017: Reread to the kids. First time for daughter (age 8). Managed to keep it mostly together through the end, had to have the 12yo read Molly's fight with Bellatrix and the last couple of paragraphs.
",5
128,Harry Potter and the Deathly Hallows,Hailey(HaileyinBookland),"May09,2014",itwasamazing,113 likes,"After 10 years of procrastination I've finally finished the Harry Potter series… no one speak to me for at least another 10 years.But in all seriousness this has been an amazing adventure and I've fallen in love and I'm a blubbering mess so I'm just going to leave it at that.
After 10 years of procrastination I've finally finished the Harry Potter series… no one speak to me for at least another 10 years.But in all seriousness this has been an amazing adventure and I've fallen in love and I'm a blubbering mess so I'm just going to leave it at that.
",5
